company_name,rating_class,star_5,star_4,star_3,star_2,star_1,total_reviews
Crypto Dispensers, Poor,45%,6%,5%,5%,39%,130 
Asic Miners Rig, Poor,0%,0%,0%,0%,100%,6 
Asicminertech, Bad,0%,0%,0%,5%,95%,22 
PNC Bank, Bad,5%,<1%,2%,4%,88%,905 
cryptobaseatm.com, Average,50%,0%,0%,0%,50%,4 
ASDFTEST, Average,100%,0%,0%,0%,0%,1 
Evergreen Credit Union, Excellent,96%,2%,<1%,<1%,<1%,229 
Kryptominerstech, Average,100%,0%,0%,0%,0%,1 
Liberty First Credit Union, Excellent,93%,3%,2%,<1%,<1%,209 
The Payment HQ, Great,100%,0%,0%,0%,0%,2 
Meriwest Credit Union, Average,62%,13%,0%,0%,25%,8 
Cash Express, Average,36%,14%,7%,7%,36%,14 
NorthOne, Average,40%,8%,2%,3%,47%,123 
Coin Cloud, Poor,13%,4%,5%,11%,67%,113 
Heritage Valley Federal Credit Union, Great,82%,0%,9%,9%,0%,11 
WPC Merchant Services & Credit Card Processing, Average,100%,0%,0%,0%,0%,1 
Swadesh, Excellent,100%,0%,0%,0%,0%,11 
Coinhub Bitcoin ATM, Average,0%,0%,0%,0%,100%,2 
